Chave;Estação;Altitude;Prep;Temp;Clima;Bioma;Solofao;Dens;ph;p;c;Textura;Referência do trabalho
1;seca;584;1614;20;Cfa;Mata Atlântica;Ferralsols;354,6666667;4,86;1,94;18,48;Argila;Oliveira et al, (tese Juliana)
2;úmida;600;1750;21;Cfa;Mata Atlântica;Ferralsols;54;6,16;1,773333333;27,211;Muito argilosa;Dados Dr George
3;úmida;585;1750;21;Cfa;Mata Atlântica;Ferralsols;17,6;4,9;2,002173913;20,91913043;Muito argilosa;Dados Dr George
4;úmida;566;1614;20;Cfa;Mata Atlântica;Ferralsols;264,1;5,5;2,249166667;22,59166667;Argila;TCC Priscila Trigo Martins (Azevedo)
5;úmida;467;1614;20;Cfa;Mata Atlântica;Ferralsols;14,1;5,4;5,75;17,81095238;Argila;TCC Priscila Trigo Martins (Azevedo)
6;úmida;566;1614;20;Cfa;Mata Atlântica;Ferralsols;46,2;5,2;3,338;18,67133333;Argila;TCC Priscila Trigo Martins (Azevedo)
7;úmida;566;1614;20;Cfa;Mata Atlântica;Ferralsols;315;5;5,043333333;17,60933333;Argila;TCC Priscila Trigo Martins (Azevedo)
8;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;10,66666667;5,345416667;17,48625;16,7625;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
9;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;54;4,968333333;16,41583333;14,7225;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
10;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;13,33333333;5,135;15,3;18,05041667;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
11;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;36;5,155;20,84;18,715;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
12;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;2;5,050833333;19,71875;16,01791667;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
13;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;92;5,206666667;21,76578283;19,0619697;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
14;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;8;5,41625;13,22916667;16,50916667;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
15;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;2;5,255416667;21,775;16,98541667;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
16;úmida;583;1686;24,1;Cfa;Mata Atlântica;Ferralsols;104;5,1;18,7;14,552;Muito argilosa;"Matsumura, Cássio Y; TCC 2005"
17;úmida;582;1614;20;Cfa;Mata Atlântica;Ferralsols;332;5,5;2,25;22,59;Argila;Brown & James 2007
18;úmida;550;1614;20;Cfa;Mata Atlântica;Nitisols;34,66666667;5,583333333;18,61111111;13,72739018;Argila;não publicado - Norton
19;úmida;550;1614;20;Cfa;Mata Atlântica;Nitisols;45,33333333;5,788888889;21,83333333;14,72868217;Argila;não publicado - Norton
20;úmida;576;1622;20,7;Cfa;Mata Atlântica;Ferralsols;3,35;4,4;11,3;13,265;Muito argilosa;Derpsch et al,, 1984 + artigo + resumo
21;úmida;576;1622;20,7;Cfa;Mata Atlântica;Ferralsols;27,3;4,75;21,55;16,95;Muito argilosa;Derpsch et al,, 1984 + artigo + resumo
22;úmida;674;1622;20,7;Cfa;Mata Atlântica;Nitisols;5,8;5;16;24;Muito argilosa;Derpsch et al,, 1984 + artigo + resumo
23;úmida;674;1622;20,7;Cfa;Mata Atlântica;Nitisols;13;5,2;32;28;Muito argilosa;Derpsch et al,, 1984 + artigo + resumo
